id,identifier,type_1,type_2
10096,pikachu-sinnoh-cap,electric,
10097,pikachu-unova-cap,electric,
10098,pikachu-kalos-cap,electric,
10099,pikachu-alola-cap,electric,
10100,raichu-alola,electric,psychic
10101,sandshrew-alola,ice,steel
10102,sandslash-alola,ice,steel
10103,vulpix-alola,ice,
10104,ninetales-alola,ice,fairy
10105,diglett-alola,ground,steel
10106,dugtrio-alola,ground,steel
10107,meowth-alola,dark,
10108,persian-alola,dark,
10109,geodude-alola,rock,electric
10110,graveler-alola,rock,electric
10111,golem-alola,rock,electric
10112,grimer-alola,poison,dark
10113,muk-alola,poison,dark
10114,exeggutor-alola,grass,dragon
10115,marowak-alola,fire,ghost
10116,greninja-battle-bond,water,dark
10117,greninja-ash,water,dark
10118,zygarde-10-power-construct,dragon,ground
10119,zygarde-50-power-construct,dragon,ground
10120,zygarde-complete,dragon,ground
10121,gumshoos-totem,normal,
10122,vikavolt-totem,bug,electric
10123,oricorio-pom-pom,electric,flying
10124,oricorio-pau,psychic,flying
10125,oricorio-sensu,ghost,flying
10126,lycanroc-midnight,rock,
10127,wishiwashi-school,water,
10128,lurantis-totem,grass,
10129,salazzle-totem,poison,fire
10130,minior-orange-meteor,rock,flying
10131,minior-yellow-meteor,rock,flying
10132,minior-green-meteor,rock,flying
10133,minior-blue-meteor,rock,flying
10134,minior-indigo-meteor,rock,flying
10135,minior-violet-meteor,rock,flying
10136,minior-red,rock,flying
10137,minior-orange,rock,flying
10138,minior-yellow,rock,flying
10139,minior-green,rock,flying
10140,minior-blue,rock,flying
10141,minior-indigo,rock,flying
10142,minior-violet,rock,flying
10143,mimikyu-busted,ghost,fairy
10144,mimikyu-totem-disguised,ghost,fairy
10145,mimikyu-totem-busted,ghost,fairy
10146,kommo-o-totem,dragon,fighting
10147,magearna-original,steel,fairy
10148,pikachu-partner-cap,electric,
10149,marowak-totem,fire,ghost
10150,ribombee-totem,bug,fairy
10151,rockruff-own-tempo,rock,
10152,lycanroc-dusk,rock,
10153,araquanid-totem,water,bug
10154,togedemaru-totem,electric,steel
10155,necrozma-dusk,psychic,steel
10156,necrozma-dawn,psychic,ghost
10157,necrozma-ultra,psychic,dragon
10158,pikachu-starter,electric,
10159,eevee-starter,normal,
10160,pikachu-world-cap,electric,
10161,meowth-galar,steel,
10162,ponyta-galar,psychic,
10163,rapidash-galar,psychic,fairy
10164,slowpoke-galar,psychic,
10165,slowbro-galar,poison,psychic
10166,farfetchd-galar,fighting,
10167,weezing-galar,poison,fairy
10168,mr-mime-galar,ice,psychic
10169,articuno-galar,psychic,flying
10170,zapdos-galar,fighting,flying
10171,moltres-galar,dark,flying
10172,slowking-galar,poison,psychic
10173,corsola-galar,ghost,
10174,zigzagoon-galar,dark,normal
10175,linoone-galar,dark,normal
10176,darumaka-galar,ice,
10177,darmanitan-galar-standard,ice,
10178,darmanitan-galar-zen,ice,fire
10179,yamask-galar,ground,ghost
10180,stunfisk-galar,ground,steel
10181,zygarde-10,dragon,ground
10182,cramorant-gulping,flying,water
10183,cramorant-gorging,flying,water
10184,toxtricity-low-key,electric,poison
10185,eiscue-noice,ice,
10186,indeedee-female,psychic,normal
10187,morpeko-hangry,electric,dark
10188,zacian-crowned,fairy,steel
10189,zamazenta-crowned,fighting,steel
10190,eternatus-eternamax,poison,dragon
10191,urshifu-rapid-strike,fighting,water
10192,zarude-dada,dark,grass
10193,calyrex-ice,psychic,ice
10194,calyrex-shadow,psychic,ghost
10195,venusaur-gmax,grass,poison
10196,charizard-gmax,fire,flying
10197,blastoise-gmax,water,
10198,butterfree-gmax,bug,flying
10199,pikachu-gmax,electric,
10200,meowth-gmax,normal,
10201,machamp-gmax,fighting,
10202,gengar-gmax,ghost,poison
10203,kingler-gmax,water,
10204,lapras-gmax,water,ice
10205,eevee-gmax,normal,
10206,snorlax-gmax,normal,
10207,garbodor-gmax,poison,
10208,melmetal-gmax,steel,
10209,rillaboom-gmax,grass,
10210,cinderace-gmax,fire,
10211,inteleon-gmax,water,
10212,corviknight-gmax,flying,steel
10213,orbeetle-gmax,bug,psychic
10214,drednaw-gmax,water,rock
10215,coalossal-gmax,rock,fire
10216,flapple-gmax,grass,dragon
10217,appletun-gmax,grass,dragon
10218,sandaconda-gmax,ground,
10219,toxtricity-amped-gmax,electric,poison
10220,centiskorch-gmax,fire,bug
10221,hatterene-gmax,psychic,fairy
10222,grimmsnarl-gmax,dark,fairy
10223,alcremie-gmax,fairy,
10224,copperajah-gmax,steel,
10225,duraludon-gmax,steel,dragon
10226,urshifu-single-strike-gmax,fighting,dark
10227,urshifu-rapid-strike-gmax,fighting,water
10228,toxtricity-low-key-gmax,electric,poison
10229,growlithe-hisui,fire,rock
10230,arcanine-hisui,fire,rock
10231,voltorb-hisui,electric,grass
10232,electrode-hisui,electric,grass
10233,typhlosion-hisui,fire,ghost
10234,qwilfish-hisui,dark,poison
10235,sneasel-hisui,fighting,poison
10236,samurott-hisui,water,dark
10237,lilligant-hisui,grass,fighting
10238,zorua-hisui,normal,ghost
10239,zoroark-hisui,normal,ghost
10240,braviary-hisui,psychic,flying
10241,sliggoo-hisui,steel,dragon
10242,goodra-hisui,steel,dragon
10243,avalugg-hisui,ice,rock
10244,decidueye-hisui,grass,fighting
10245,dialga-origin,steel,dragon
10246,palkia-origin,water,dragon
10247,basculin-white-striped,water,
10248,basculegion-female,water,ghost
10249,enamorus-therian,fairy,flying
10250,tauros-paldea-combat-breed,fighting,
10251,tauros-paldea-blaze-breed,fighting,fire
10252,tauros-paldea-aqua-breed,fighting,water
10253,wooper-paldea,poison,ground
10254,oinkologne-female,normal,
10255,dudunsparce-three-segment,normal,
10256,palafin-hero,water,
10257,maushold-family-of-three,normal,
10258,tatsugiri-droopy,dragon,water
10259,tatsugiri-stretchy,dragon,water
10260,squawkabilly-blue-plumage,normal,flying
10261,squawkabilly-yellow-plumage,normal,flying
10262,squawkabilly-white-plumage,normal,flying
10263,gimmighoul-roaming,ghost,
10264,koraidon-limited-build,fighting,dragon
10265,koraidon-sprinting-build,fighting,dragon
10266,koraidon-swimming-build,fighting,dragon
10267,koraidon-gliding-build,fighting,dragon
10268,miraidon-low-power-mode,electric,dragon
10269,miraidon-drive-mode,electric,dragon
10270,miraidon-aquatic-mode,electric,dragon
10271,miraidon-glide-mode,electric,dragon
10272,ursaluna-bloodmoon,ground,normal
10273,ogerpon-wellspring-mask,grass,water
10274,ogerpon-hearthflame-mask,grass,fire
10275,ogerpon-cornerstone-mask,grass,rock
10276,terapagos-terastal,normal,
10277,terapagos-stellar,normal,
10278,clefable-mega,fairy,flying
10279,victreebel-mega,grass,poison
10280,starmie-mega,water,psychic
10281,dragonite-mega,dragon,flying
10282,meganium-mega,grass,fairy
10283,feraligatr-mega,water,dragon
10284,skarmory-mega,steel,flying
10285,froslass-mega,ice,ghost
10286,emboar-mega,fire,fighting
10287,excadrill-mega,ground,steel
10288,scolipede-mega,bug,poison
10289,scrafty-mega,dark,fighting
10290,eelektross-mega,electric,
10291,chandelure-mega,ghost,fire
10292,chesnaught-mega,grass,fighting
10293,delphox-mega,fire,psychic
10294,greninja-mega,water,dark
10295,pyroar-mega,fire,normal
10296,floette-mega,fairy,
10297,malamar-mega,dark,psychic
10298,barbaracle-mega,rock,fighting
10299,dragalge-mega,poison,dragon
10300,hawlucha-mega,fighting,flying
10301,zygarde-mega,dragon,ground
10302,drampa-mega,normal,dragon
10303,falinks-mega,fighting,
10304,raichu-mega-x,electric,
10305,raichu-mega-y,electric,
10306,chimecho-mega,psychic,steel
10307,absol-mega-z,dark,ghost
10308,staraptor-mega,flying,fighting
10309,garchomp-mega-z,dragon,
10310,lucario-mega-z,fighting,steel
10311,heatran-mega,fire,steel
10312,darkrai-mega,dark,
10313,golurk-mega,ground,ghost
10314,meowstic-mega,psychic,
10315,crabominable-mega,fighting,ice
10316,golisopod-mega,bug,steel
10317,magearna-mega,steel,fairy
10318,magearna-original-mega,steel,fairy
10319,zeraora-mega,electric,
10320,scovillain-mega,grass,fire
10321,glimmora-mega,rock,poison
10322,tatsugiri-curly-mega,dragon,water
10323,tatsugiri-droopy-mega,dragon,water
10324,tatsugiri-stretchy-mega,dragon,water
10325,baxcalibur-mega,dragon,ice
